segment_id,modality,reason
ZSCuKBv341w_0214,video,no_frames
NtASULb90G0_0219,video,no_frames
Nw1v_gaGhrY_252,video,no_frames
Nw1v_gaGhrY_247,video,no_frames
Cdr_3tdg7_s_091,video,no_frames
SByoQciTTxw_163,video,no_frames
kqAHOhB4hD0_0198,video,no_frames
kqAHOhB4hD0_0196,video,no_frames
-JeIdPld-tI_0074,video,no_frames
-JeIdPld-tI_0108,video,no_frames
-JeIdPld-tI_0155,video,no_frames
IDbIn-CMM50_0030,video,no_frames
UAI2vveJdCc_0109,video,no_frames
sL8SM1jZAgw_0038,video,no_frames
UAI2vveJdCc_0120,video,no_frames
sL8SM1jZAgw_0123,video,no_frames
sL8SM1jZAgw_0160,video,no_frames
XBTmE1OrZJU_0025,video,no_frames
XBTmE1OrZJU_0040,video,no_frames
XBTmE1OrZJU_0235,video,no_frames
XBTmE1OrZJU_0247,video,no_frames
XBTmE1OrZJU_0255,video,no_frames
XBTmE1OrZJU_0262,video,no_frames
kqAHOhB4hD0_0196,video,no_frames
kqAHOhB4hD0_0198,video,no_frames
Vu3WgixqLok_0049,video,no_frames
Vu3WgixqLok_0068,video,no_frames
Vu3WgixqLok_0090,video,no_frames
Vu3WgixqLok_0097,video,no_frames
Vu3WgixqLok_0103,video,no_frames
Vu3WgixqLok_0110,video,no_frames
EIv_Gz61jos_0121,video,no_frames
mpYaokwgSp4_0096,video,no_frames
AtMXiriz6Zs_0073,video,no_frames
WXfnqzU-R84_0011,video,no_frames
WXfnqzU-R84_0060,video,no_frames
q2d9SyUekmw_0043,video,no_frames
q2d9SyUekmw_0048,video,no_frames
q2d9SyUekmw_0055,video,no_frames
q2d9SyUekmw_0057,video,no_frames
q2d9SyUekmw_0096,video,no_frames
q2d9SyUekmw_0101,video,no_frames
q2d9SyUekmw_0103,video,no_frames
q2d9SyUekmw_0113,video,no_frames
q2d9SyUekmw_0115,video,no_frames
q2d9SyUekmw_0137,video,no_frames
q2d9SyUekmw_0143,video,no_frames
q2d9SyUekmw_0159,video,no_frames
q2d9SyUekmw_0190,video,no_frames
q2d9SyUekmw_0193,video,no_frames
q2d9SyUekmw_0197,video,no_frames
q2d9SyUekmw_0195,video,no_frames
q2d9SyUekmw_0204,video,no_frames
q2d9SyUekmw_0239,video,no_frames
q2d9SyUekmw_0241,video,no_frames
q2d9SyUekmw_0237,video,no_frames
q2d9SyUekmw_0242,video,no_frames
q2d9SyUekmw_0251,video,no_frames
q2d9SyUekmw_0246,video,no_frames
q2d9SyUekmw_0252,video,no_frames
q2d9SyUekmw_0255,video,no_frames
q2d9SyUekmw_0264,video,no_frames
q2d9SyUekmw_0265,video,no_frames
q2d9SyUekmw_0267,video,no_frames
q2d9SyUekmw_0290,video,no_frames
q2d9SyUekmw_0301,video,no_frames
q2d9SyUekmw_0386,video,no_frames
q2d9SyUekmw_0387,video,no_frames
q2d9SyUekmw_0384,video,no_frames
L-HoQB2gz6Y_0026,video,no_frames
Lk1azqQx-pA_0054,video,no_frames
Lk1azqQx-pA_0073,video,no_frames
Lk1azqQx-pA_0083,video,no_frames
Lk1azqQx-pA_0112,video,no_frames
Lk1azqQx-pA_0117,video,no_frames
OI9aJEFrEDk_0155,video,no_frames
OI9aJEFrEDk_0156,video,no_frames
6et-kaSbBD4_0131,video,no_frames
6HspnBU1tXA_0093,video,no_frames
Y_8NBxYM6P4_0007,video,no_frames
Y_8NBxYM6P4_0009,video,no_frames
-JeIdPld-tI_0074,video,no_frames
-JeIdPld-tI_0108,video,no_frames
-JeIdPld-tI_0155,video,no_frames
tlBWzg-NCP0_0027,video,no_frames
tlBWzg-NCP0_0168,video,no_frames
i1EZEfC_-_o_0134,video,no_frames
KqyjudAkFNQ_0463,video,no_frames
o73lODRW6NI_0090,video,no_frames
2WQbm6-QakE_0088,video,no_frames
fsVwqQ2g-HE_0041,video,no_frames
_kRmgAzpugU_0069,video,no_frames
7fFUjj9-lcc_0025,video,no_frames
7fFUjj9-lcc_0037,video,no_frames
dqWj3Rb9Dxk_0119,video,no_frames
dqWj3Rb9Dxk_0245,video,no_frames
Q1MmR4NZbJg_0076,video,no_frames
zG5cFO3mXD4_0196,video,no_frames
DH3SgIY7S5A_0011,video,no_frames
ZHUBm2XxU1E_0132,video,no_frames
1GSb8eoJCa4_0216,video,no_frames
e2O3Je-OKY0_0144,video,no_frames
e2O3Je-OKY0_0174,video,no_frames
e2O3Je-OKY0_0188,video,no_frames
e2O3Je-OKY0_0301,video,no_frames
e2O3Je-OKY0_0340,video,no_frames
yh9CR5pIEeU_0093,video,no_frames
hNPJhR7qZ4g_0156,video,no_frames
hNPJhR7qZ4g_0157,video,no_frames
hNPJhR7qZ4g_0163,video,no_frames
hNPJhR7qZ4g_0203,video,no_frames
hNPJhR7qZ4g_0210,video,no_frames
hNPJhR7qZ4g_0247,video,no_frames
PXebDrmRQVw_0230,video,no_frames
crCwtFt8VD8_0026,video,no_frames
crCwtFt8VD8_0046,video,no_frames
crCwtFt8VD8_0111,video,no_frames
crCwtFt8VD8_0298,video,no_frames
crCwtFt8VD8_0305,video,no_frames
uKhrafSUFMY_0164,video,no_frames
-SKC_rvEXrY_0155,video,no_frames
1tFzOOEJRLg_0006,video,no_frames
LvP9lacmmbI_0280,video,no_frames
LvP9lacmmbI_0279,video,no_frames
kFWWRG7X5Y4_0191,video,no_frames
Nw1v_gaGhrY_247,video,no_frames
Nw1v_gaGhrY_252,video,no_frames
SByoQciTTxw_163,video,no_frames
eyZZtixSkvU_0036,video,no_frames
eyZZtixSkvU_0073,video,no_frames
eyZZtixSkvU_0100,video,no_frames
eyZZtixSkvU_0109,video,no_frames
eyZZtixSkvU_0121,video,no_frames
HZ6XpDpVjUA_0194,video,no_frames
6WcrU7QPiCc_0094,video,no_frames
6WcrU7QPiCc_0112,video,no_frames
6WcrU7QPiCc_0111,video,no_frames
6WcrU7QPiCc_0133,video,no_frames
6WcrU7QPiCc_0161,video,no_frames
6WcrU7QPiCc_0178,video,no_frames
6WcrU7QPiCc_0180,video,no_frames
6WcrU7QPiCc_0207,video,no_frames
6WcrU7QPiCc_0244,video,no_frames
6WcrU7QPiCc_0252,video,no_frames
6WcrU7QPiCc_0253,video,no_frames
6WcrU7QPiCc_0258,video,no_frames
6WcrU7QPiCc_0265,video,no_frames
6WcrU7QPiCc_0272,video,no_frames
6WcrU7QPiCc_0298,video,no_frames
6WcrU7QPiCc_0320,video,no_frames
6WcrU7QPiCc_0350,video,no_frames
6WcrU7QPiCc_0353,video,no_frames
6WcrU7QPiCc_0365,video,no_frames
6WcrU7QPiCc_0392,video,no_frames
6WcrU7QPiCc_0406,video,no_frames
kkk9y66ZQaM_0171,video,no_frames
FzOrff-KoCg_0068,video,no_frames
FzOrff-KoCg_0366,video,no_frames
3PDZJkvCU70_0105,video,no_frames
KT2iEhCJenM_0463,video,no_frames
KT2iEhCJenM_0464,video,no_frames
KT2iEhCJenM_0466,video,no_frames
KT2iEhCJenM_0465,video,no_frames
iuQkUfacX6M_0069,video,no_frames
iuQkUfacX6M_0219,video,no_frames
iuQkUfacX6M_0249,video,no_frames
0d-FdELGQHU_0090,video,no_frames
iuQkUfacX6M_0275,video,no_frames
iuQkUfacX6M_0284,video,no_frames
iuQkUfacX6M_0294,video,no_frames
iuQkUfacX6M_0301,video,no_frames
iuQkUfacX6M_0315,video,no_frames
iuQkUfacX6M_0335,video,no_frames
iuQkUfacX6M_0340,video,no_frames
iuQkUfacX6M_0363,video,no_frames
iuQkUfacX6M_0376,video,no_frames
iuQkUfacX6M_0380,video,no_frames
iuQkUfacX6M_0377,video,no_frames
iuQkUfacX6M_0399,video,no_frames
iuQkUfacX6M_0395,video,no_frames
iuQkUfacX6M_0421,video,no_frames
iuQkUfacX6M_0432,video,no_frames
iuQkUfacX6M_0448,video,no_frames
iuQkUfacX6M_0449,video,no_frames
iuQkUfacX6M_0456,video,no_frames
iuQkUfacX6M_0458,video,no_frames
iuQkUfacX6M_0459,video,no_frames
iuQkUfacX6M_0465,video,no_frames
GLKERFm_tUg_0038,video,no_frames
GLKERFm_tUg_0046,video,no_frames
GLKERFm_tUg_0049,video,no_frames
GLKERFm_tUg_0055,video,no_frames
DftqVwnmra0_0118,video,no_frames
lvrzqf-8E1c_0280,video,no_frames
mHoVvtaI6LY_0164,video,no_frames
dhCFu4cW_HQ_0172,video,no_frames
ZGZ2aUlqKSk_0049,video,no_frames
ZGZ2aUlqKSk_0129,video,no_frames
ZGZ2aUlqKSk_0144,video,no_frames
ZGZ2aUlqKSk_0147,video,no_frames
ZGZ2aUlqKSk_0198,video,no_frames
ZGZ2aUlqKSk_0202,video,no_frames
X-I0DY1VXGE_0101,video,no_frames
eYUy_-Y43sg_0136,video,no_frames
eYUy_-Y43sg_0135,video,no_frames
yZj7HxCaWTg_163,video,no_frames
zjkLiRGaiIQ_0041,video,no_frames
TxwHZx0aULw_0126,video,no_frames
lmDn-xLaGTw_028,video,no_frames
lmDn-xLaGTw_247,video,no_frames
OuHyUj1tX80_0045,video,no_frames
93bKqX7PgwM_0040,video,no_frames
93bKqX7PgwM_0077,video,no_frames
93bKqX7PgwM_0079,video,no_frames
AtMXiriz6Zs_074,video,no_frames
zkkNNPO7oC8_0080,video,no_frames
zkkNNPO7oC8_0100,video,no_frames
s2Q24tEQPDQ_218,video,no_frames
oGoFJ2M_o4E_0097,video,no_frames
V-OomlyAWTo_176,video,no_frames
V-OomlyAWTo_185,video,no_frames
JOrDQQi-CnA_0053,video,no_frames
JOrDQQi-CnA_0183,video,no_frames
JOrDQQi-CnA_0267,video,no_frames
JOrDQQi-CnA_0299,video,no_frames
H8aYGP0jR8s_158,video,no_frames
oGoFJ2M_o4E_096,video,no_frames
0e17qVjGQ_I_0179,video,no_frames
rhVcxmsWy_0_038,video,no_frames
Alq8PWQvHKU_0005,video,no_frames
Alq8PWQvHKU_0007,video,no_frames
Alq8PWQvHKU_0024,video,no_frames
Alq8PWQvHKU_0046,video,no_frames
Alq8PWQvHKU_0061,video,no_frames
Alq8PWQvHKU_0066,video,no_frames
nuND-PVpzhk_046,video,no_frames
jG5HJ6DYb-o_211,video,no_frames
QeT49xawWfE_0226,video,no_frames
QeT49xawWfE_0249,video,no_frames
QeT49xawWfE_0275,video,no_frames
QeT49xawWfE_0277,video,no_frames
Q1MmR4NZbJg_076,video,no_frames
Bwg-HPKgj-0_0160,video,no_frames
cHukhMKi-mE_102,video,no_frames
ZEXF8d68pOE_0299,video,no_frames
0e17qVjGQ_I_176,video,no_frames
0e17qVjGQ_I_177,video,no_frames
shM01kLTSc4_0019,video,no_frames
shM01kLTSc4_0024,video,no_frames
CFuhQ59ey8s_0049,video,no_frames
GJTaWrki-9I_007,video,no_frames
mLus22RM9K4_0270,video,no_frames
hDCroxd2ABY_238,video,no_frames
MDoQomyKql4_0025,video,no_frames
yCWBm9up3AA_096,video,no_frames
S3iKSD6WYtU_175,video,no_frames
CAKHvTcil_k_333,video,no_frames
F4SNnVQEJ24_007,video,no_frames
F4SNnVQEJ24_010,video,no_frames
dP7f7K21fe8_281,video,no_frames
68gdL70Nfb0_036,video,no_frames
68gdL70Nfb0_165,video,no_frames
68gdL70Nfb0_186,video,no_frames
68gdL70Nfb0_241,video,no_frames
UmV5jfybAwo_050,video,no_frames
UmV5jfybAwo_141,video,no_frames
l-nsPKr5tSM_067,video,no_frames
xhFs-BK7mN4_271,video,no_frames
xhFs-BK7mN4_273,video,no_frames
xhFs-BK7mN4_272,video,no_frames
xhFs-BK7mN4_274,video,no_frames
xhFs-BK7mN4_286,video,no_frames
xhFs-BK7mN4_288,video,no_frames
xhFs-BK7mN4_289,video,no_frames
xhFs-BK7mN4_321,video,no_frames
63lPpFJIW4M_182,video,no_frames
jdS0LOxac3E_366,video,no_frames
jdS0LOxac3E_442,video,no_frames
jHtULFrKa2g_406,video,no_frames
jHtULFrKa2g_407,video,no_frames
8RTIJroRhh4_206,video,no_frames
zM-2_JxIJZg_236,video,no_frames
nSs7_10VuSw_141,video,no_frames
